BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Central Nervous System,04.07.01,Non-opioid analgesics and compound preparations,Primary inferential,1.016,1.012,1.030,Nov,Aug,Bimodal,0.000,0.210,-0.170,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.02.03,Potassium-sparing diuretics and aldosterone antagonists,Primary inferential,1.016,1.007,1.034,Nov,Mar,Bimodal,0.000,0.948,-0.193,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.022,No
Endocrine System,06.04.02,Male sex hormones and antagonists,Primary inferential,1.016,1.013,1.030,Nov,Jul,Bimodal,0.000,0.644,-0.170,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.01,Drugs for urinary retention,Primary inferential,1.015,1.011,1.028,Nov,Aug,Bimodal,0.000,0.708,-0.182,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,Primary inferential,1.015,1.012,1.033,Nov,Jul,Bimodal,0.000,0.153,-0.150,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.05.04,Alpha-adrenoceptor blocking drugs,Primary inferential,1.015,1.010,1.025,Apr,Aug,Bimodal,0.000,0.585,-0.160,Poisson,Poisson + Newey–West HAC (Wald),No,0.00112,No
Central Nervous System,04.03.04,Other antidepressant drugs,Primary inferential,1.013,1.011,1.028,Dec,Jul,Unimodal (non-sinusoidal),0.000,0.818,-0.169,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.08.02,Oral anticoagulants,Primary inferential,1.013,1.007,1.030,Nov,Mar,Bimodal,0.000,0.562,-0.181,Poisson,Poisson + Newey–West HAC (Wald),No,0.00532,No
Cardiovascular System,02.02.01,Thiazides and related diuretics,Primary inferential,1.012,1.008,1.025,May,Sep,Bimodal,0.000,0.717,-0.165,Poisson,Poisson + Newey–West HAC (Wald),No,0.0019,No
Cardiovascular System,02.01.01,Cardiac glycosides,Primary inferential,1.012,1.008,1.030,Nov,Mar,Bimodal,0.000,0.244,-0.174,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.02.03,Drugs used for mania and hypomania,Primary inferential,1.012,1.008,1.031,Dec,Aug,Bimodal,0.116,0.731,-0.186,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0342,No
Gastro-Intestinal System,01.06.02,Stimulant laxatives,Primary inferential,1.012,1.007,1.030,Nov,Mar,Unimodal (non-sinusoidal),0.000,0.755,-0.171,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.043,No
Cardiovascular System,02.06.03,Other antianginal drugs,Primary inferential,1.011,1.007,1.032,Nov,Mar,Bimodal,0.000,0.602,-0.185,Poisson,Poisson + Newey–West HAC (Wald),No,0.0321,No
Central Nervous System,04.02.01,Antipsychotic drugs,Primary inferential,1.011,1.008,1.028,Dec,Apr,Bimodal,0.000,0.004,-0.175,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00314,No
Respiratory System,03.01.04,Compound bronchodilator preparations,Primary inferential,1.010,1.007,1.025,Dec,Aug,Bimodal,0.000,0.864,-0.226,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00182,No
Cardiovascular System,02.09.00,Antiplatelet drugs,Primary inferential,1.010,1.007,1.025,Nov,Feb,Bimodal,0.000,0.000,-0.205,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,Primary inferential,1.009,1.007,1.027,Dec,Aug,Bimodal,0.000,0.000,-0.190,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00341,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,Primary inferential,1.009,1.007,1.025,Dec,Aug,Unimodal (non-sinusoidal),0.000,0.117,-0.147,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.08.01,Control of epilepsy,Primary inferential,1.009,1.006,1.028,Nov,Mar,Bimodal,0.000,0.189,-0.192,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0462,No
