BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Respiratory System,03.04.01,Antihistamines,0304010N0,Diphenhydramine hydrochloride,Secondary exploratory,1.089,1.059,1.140,Oct,Jun,Unimodal,0.324,0.670,Negbin,Negative binomial (LRT),Yes,0.00219,No
Skin,13.05.03,Drugs affecting the immune response,1305030C0,Tacrolimus,Secondary exploratory,1.089,1.073,1.120,Apr,Sep,Unimodal (non-sinusoidal),0.657,0.979,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.02.02,Vaginal and vulval infections,0702020F0,Clotrimazole,Secondary exploratory,1.088,1.047,1.142,Sep,May,Bimodal,0.509,0.398,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0095,No
Cardiovascular System,02.06.02,Calcium-channel blockers,0206020R0,Nifedipine,Secondary exploratory,1.086,1.079,1.095,Jan,Aug,Unimodal (non-sinusoidal),0.481,0.097,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.03,Tetracyclines,0501030F0,Demeclocycline hydrochloride,Secondary exploratory,1.086,1.054,1.148,Sep,Mar,Unimodal,0.180,0.838,Poisson,Poisson (LRT),Yes,0.012,No
Skin,13.05.02,Preparations for psoriasis,1305020D0,Calcipotriol,Secondary exploratory,1.085,1.074,1.108,Apr,Oct,Unimodal,0.595,0.068,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.04.00,Topical corticosteroids,1304000Y0,Mometasone furoate,Secondary exploratory,1.085,1.051,1.133,May,Sep,Unimodal,0.403,0.800,Negbin,Negative binomial (LRT),Yes,0.0174,No
Respiratory System,03.02.00,Corticosteroids (respiratory),0302000C0,Beclometasone dipropionate,Secondary exploratory,1.084,1.067,1.102,Dec,Aug,Bimodal,0.517,0.217,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.10.03,Antiviral preparations,1310030C0,Aciclovir,Secondary exploratory,1.083,1.067,1.107,Dec,Aug,Unimodal (non-sinusoidal),0.484,0.872,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.03.00,Topical local anaesthetics and antipruritics,1303000AA,Menthol,Secondary exploratory,1.081,1.051,1.120,Jul,Nov,Unimodal,0.358,0.927,Negbin,Negative binomial (LRT),Yes,0.00259,No
Skin,13.02.01,Emollients,1302010U0,Urea,Secondary exploratory,1.079,1.056,1.113,Jun,Nov,Unimodal,0.364,0.552,Negbin,Negative binomial (LRT),Yes,<0.001,No
Skin,13.06.01,Topical preparations for acne,1306010Z0,Adapalene and benzoyl peroxide,Secondary exploratory,1.077,1.051,1.140,Sep,Jun,Bimodal,0.406,0.817,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0175,No
Musculoskeletal and Joint Diseases,10.02.02,Skeletal muscle relaxants,1002020Y0,Dronabinol/cannabidiol,Secondary exploratory,1.074,1.051,1.106,Dec,Aug,Unimodal,0.333,0.976,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.09.00,Shampoo and other preparations for scalp and hair conditions,1309000X0,Eflornithine monohydrate chloride,Secondary exploratory,1.073,1.062,1.095,Aug,Dec,Unimodal,0.261,0.544,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.08,Sulfonamides and trimethoprim,0501080W0,Trimethoprim,Secondary exploratory,1.069,1.050,1.107,Oct,Jun,Unimodal,0.608,0.161,Negbin,Negative binomial (LRT),Yes,<0.001,No
Infections,05.01.03,Tetracyclines,0501030P0,Minocycline hydrochloride,Secondary exploratory,1.069,1.039,1.135,Jan,Jun,Unimodal,0.357,0.989,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00693,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.02.02,Vaginal and vulval infections,0702020E0,Clindamycin phosphate,Secondary exploratory,1.068,1.042,1.153,Jan,Jun,Unimodal,0.362,0.786,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.016,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.02,Progestogen-only contraceptives,0703022M0,Medroxyprogesterone acetate,Secondary exploratory,1.067,1.052,1.083,Feb,Oct,Bimodal,0.688,0.859,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.11,"Metronidazole, tinidazole and ornidazole",0501110C0,Metronidazole,Secondary exploratory,1.065,1.038,1.105,Sep,Jun,Bimodal,0.629,0.615,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00287,No
Central Nervous System,04.04.00,CNS stimulants and drugs used for ADHD,0404000M0,Methylphenidate hydrochloride,Secondary exploratory,1.065,1.044,1.105,Apr,Aug,Bimodal,0.710,0.962,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803042S0,Triptorelin embonate,Secondary exploratory,1.063,1.046,1.131,Nov,Aug,Bimodal,0.523,0.972,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.05.02,Preparations for psoriasis,1305020W0,Calcitriol,Secondary exploratory,1.063,1.043,1.109,Apr,Sep,Unimodal,0.319,0.089,Negbin,Negative binomial (LRT),Yes,0.026,No
Endocrine System,06.01.04,Treatment of hypoglycaemia,0601040I0,Glucose,Secondary exploratory,1.063,1.053,1.080,Jul,Dec,Unimodal (non-sinusoidal),0.554,0.857,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.02.00,Corticosteroids (respiratory),0302000K0,Budesonide,Secondary exploratory,1.059,1.046,1.075,Dec,Aug,Bimodal,0.468,0.953,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.02.02,Topical nasal decongestants,1202020L0,Sodium chloride,Secondary exploratory,1.059,1.048,1.077,Dec,Sep,Bimodal,0.406,0.611,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.06.02,Bisphosphonates and other drugs,0606020Z0,Denosumab,Secondary exploratory,1.059,1.051,1.076,Jun,Sep,Bimodal,0.586,0.922,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Gastro-Intestinal System,01.01.02,Compound alginates and proprietary indigestion preparations,0101021B0,Alginic acid compound preparations,Secondary exploratory,1.058,1.045,1.081,Dec,Jul,Unimodal (non-sinusoidal),0.170,0.106,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.01.01,Adrenoceptor agonists,0301011V0,Terbutaline sulphate,Secondary exploratory,1.058,1.042,1.087,Dec,Aug,Bimodal,0.227,0.962,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.07.01,Soothing haemorrhoidal preparations,0107010Z0,Zinc oxide,Secondary exploratory,1.058,1.045,1.073,Feb,Jun,Bimodal,0.298,0.432,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.04.00,Topical corticosteroids,1304000D0,Betamethasone esters,Secondary exploratory,1.058,1.037,1.102,Jun,Nov,Unimodal,0.395,0.759,Negbin,Negative binomial (LRT),Yes,0.0348,No
