BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Infections,05.03.04,Influenza,0503040B0,Oseltamivir phosphate,Secondary exploratory,158.776,59.316,440.278,Jan,Aug,Unimodal (non-sinusoidal),0.708,0.406,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000H0,Influenza,Secondary exploratory,71.468,45.116,123.978,Nov,Jun,Unimodal (non-sinusoidal),0.875,0.127,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.08.01,Sunscreening preparations,130801000,Other sunscreening preparations,Secondary exploratory,2.688,2.477,2.923,Jun,Jan,Unimodal (non-sinusoidal),0.901,0.205,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020W0,Azelastine hydrochloride,Secondary exploratory,2.647,2.496,2.979,Jun,Jan,Bimodal,0.964,0.018,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020AC,Epinastine hydrochloride,Secondary exploratory,2.429,2.279,2.636,Jun,Dec,Unimodal (non-sinusoidal),0.939,0.105,Poisson,Poisson (LRT),Yes,<0.001,Yes
Infections,05.01.01,Penicillins,0501013B0,Amoxicillin,Secondary exploratory,2.345,2.019,2.729,Dec,Aug,Unimodal (non-sinusoidal),0.839,0.466,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.05,Macrolides,0501050H0,Erythromycin ethylsuccinate,Secondary exploratory,2.293,1.904,2.808,Dec,Aug,Bimodal,0.703,0.716,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020T0,Sodium cromoglicate,Secondary exploratory,2.273,2.168,2.428,Jun,Jan,Unimodal (non-sinusoidal),0.964,0.451,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.02,Expectorant and demulcent cough preparations,0309020D0,Simple,Secondary exploratory,2.146,1.964,2.356,Dec,Aug,Unimodal (non-sinusoidal),0.892,0.593,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.02,Expectorant and demulcent cough preparations,0309020G0,Guaifenesin,Secondary exploratory,1.939,1.771,2.184,Dec,Jul,Unimodal (non-sinusoidal),0.875,0.562,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Nutrition and Blood,09.02.01,Oral preparation for fluid and electrolyte imbalance,0902011U0,Potassium chloride,Secondary exploratory,1.861,1.746,2.006,Aug,Dec,Unimodal (non-sinusoidal),0.894,0.182,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Endocrine System,06.04.01,Female sex hormones and their modulators,0604012P0,Norethisterone,Secondary exploratory,1.847,1.738,1.960,Jul,Dec,Unimodal (non-sinusoidal),0.900,0.166,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020Z0,Olopatadine,Secondary exploratory,1.820,1.740,1.940,Jun,Jan,Unimodal (non-sinusoidal),0.946,0.818,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.03,Tetracyclines,0501030I0,Doxycycline hyclate,Secondary exploratory,1.815,1.610,2.074,Dec,Aug,Unimodal (non-sinusoidal),0.838,0.427,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020M0,Lodoxamide trometamol,Secondary exploratory,1.698,1.582,1.846,Jun,Jan,Unimodal (non-sinusoidal),0.910,0.615,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.03.01,Antibacterials,1103010C0,Chloramphenicol,Secondary exploratory,1.679,1.471,1.942,Feb,Sep,Unimodal (non-sinusoidal),0.803,0.591,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010A0,Azelastine hydrochloride,Secondary exploratory,1.668,1.541,1.851,Jun,Feb,Bimodal,0.868,0.089,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.01,Penicillins,0501011P0,Phenoxymethylpenicillin (Penicillin V),Secondary exploratory,1.640,1.433,1.960,Jan,Aug,Unimodal (non-sinusoidal),0.755,0.736,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Endocrine System,06.04.01,Female sex hormones and their modulators,0604012M0,Medroxyprogesterone acetate,Secondary exploratory,1.583,1.320,1.972,Jul,Nov,Unimodal (non-sinusoidal),0.573,0.581,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.03,Allergic emergencies,0304030C0,Adrenaline,Secondary exploratory,1.583,1.424,1.801,Aug,Dec,Bimodal,0.828,0.319,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.10.00,Systemic nasal decongestants,0310000N0,Pseudoephedrine hydrochloride,Secondary exploratory,1.552,1.432,1.711,Dec,Jul,Unimodal,0.713,0.861,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020Y0,Ketotifen fumarate,Secondary exploratory,1.524,1.435,1.645,Jun,Jan,Unimodal (non-sinusoidal),0.893,0.947,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.10.04,Parasiticidal preparations,1310040Q0,Permethrin,Secondary exploratory,1.515,1.420,1.646,Nov,Jul,Unimodal (non-sinusoidal),0.859,0.970,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.05,Macrolides,0501050B0,Clarithromycin,Secondary exploratory,1.505,1.340,1.716,Dec,Aug,Unimodal (non-sinusoidal),0.762,0.604,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.01,Cough suppressants,0309010C0,Codeine phosphate,Secondary exploratory,1.485,1.424,1.558,Dec,Aug,Unimodal (non-sinusoidal),0.872,0.864,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010E0,Fexofenadine hydrochloride,Secondary exploratory,1.472,1.427,1.525,Jun,Jan,Unimodal (non-sinusoidal),0.925,0.895,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.03,Nasal preparations for infection,1202030S0,Neomycin sulfate,Secondary exploratory,1.444,1.369,1.569,May,Sep,Unimodal (non-sinusoidal),0.858,0.468,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.03.01,Drugs for oral ulceration and inflammation,1203010E0,Benzydamine hydrochloride,Secondary exploratory,1.441,1.325,1.580,Dec,Aug,Unimodal (non-sinusoidal),0.780,0.191,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010T0,Triamcinolone acetonide,Secondary exploratory,1.417,1.260,1.945,Jun,Nov,Unimodal (non-sinusoidal),0.507,0.796,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.02,Allergen immunotherapy,0304020AB,Timothy grass pollen allergen extract,Secondary exploratory,1.393,1.325,1.485,May,Nov,Unimodal,0.779,0.959,Poisson,Poisson (LRT),Yes,<0.001,Yes
Skin,13.12.00,Antiperspirants,1312000C0,Aluminium chloride,Secondary exploratory,1.392,1.347,1.459,Jul,Dec,Unimodal (non-sinusoidal),0.861,0.013,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.07.00,Preparations for warts and calluses,1307000M0,Salicylic acid,Secondary exploratory,1.392,1.313,1.484,Aug,Dec,Unimodal (non-sinusoidal),0.891,0.440,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.02,Topical nasal decongestants,1202020P0,Xylometazoline hydrochloride,Secondary exploratory,1.388,1.323,1.460,Jan,Aug,Unimodal (non-sinusoidal),0.927,0.817,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010A0,Acrivastine,Secondary exploratory,1.384,1.355,1.414,Jun,Jan,Unimodal (non-sinusoidal),0.933,0.812,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010AB,Desloratadine,Secondary exploratory,1.365,1.330,1.402,Jun,Jan,Unimodal (non-sinusoidal),0.914,0.835,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Endocrine System,06.03.02,Glucocorticoid therapy,0603020T0,Prednisolone,Secondary exploratory,1.359,1.290,1.431,Dec,Aug,Unimodal (non-sinusoidal),0.843,0.612,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.08.01,Sunscreening preparations,1308010W0,Diclofenac sodium,Secondary exploratory,1.353,1.309,1.419,Aug,Jan,Unimodal (non-sinusoidal),0.862,0.799,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.03.01,Antibacterials,1103010G0,Gentamicin sulfate,Secondary exploratory,1.349,1.293,1.410,Sep,May,Bimodal,0.832,0.949,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Endocrine System,06.03.02,Glucocorticoid therapy,0603020M0,Hydrocortisone sodium succinate,Secondary exploratory,1.347,1.225,2.184,Jul,Dec,Unimodal (non-sinusoidal),0.526,0.906,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010AE,Ciprofloxain/dexameth,Secondary exploratory,1.335,1.257,1.992,Sep,May,Unimodal (non-sinusoidal),0.673,0.956,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.10.01,Antibacterial preparations,1310012K0,Metronidazole,Secondary exploratory,1.329,1.301,1.364,Apr,Nov,Unimodal (non-sinusoidal),0.925,0.514,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.10.04,Parasiticidal preparations,1310040V0,Dimeticone (Parasiticidal),Secondary exploratory,1.322,1.208,1.494,Oct,May,Unimodal,0.511,0.620,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010AF,Bilastine,Secondary exploratory,1.321,1.275,1.400,Jun,Nov,Unimodal (non-sinusoidal),0.819,0.949,Poisson,Poisson (LRT),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010G0,Hydrocortisone acetate,Secondary exploratory,1.317,1.237,1.405,Sep,May,Bimodal,0.646,0.692,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.06.03,Topical preparation for rosacea,1306030B0,Ivermectin,Secondary exploratory,1.294,1.273,1.344,Apr,Dec,Unimodal (non-sinusoidal),0.874,0.962,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010C0,Beclometasone dipropionate,Secondary exploratory,1.293,1.240,1.352,Jun,Oct,Bimodal,0.886,0.829,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.03,Tetracyclines,0501030Z0,Doxycycline monohydrate,Secondary exploratory,1.290,1.203,1.386,Dec,Aug,Unimodal (non-sinusoidal),0.641,0.784,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010D0,Loratadine,Secondary exploratory,1.287,1.269,1.305,Jun,Jan,Unimodal (non-sinusoidal),0.901,0.691,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.10.02,Antifungal preparations,1310020A0,Amorolfine hydrochloride,Secondary exploratory,1.285,1.258,1.316,Jul,Dec,Unimodal (non-sinusoidal),0.849,0.655,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.03.03,Lozenges and sprays,1203030B0,Benzocaine,Secondary exploratory,1.284,1.175,1.456,Feb,Jun,Unimodal,0.612,0.585,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Endocrine System,06.03.02,Glucocorticoid therapy,0603020G0,Dexamethasone,Secondary exploratory,1.282,1.213,1.411,Nov,Jul,Bimodal,0.717,0.277,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.07.00,Mucolytics,0307000Q0,Erdosteine,Secondary exploratory,1.275,1.218,1.346,Dec,Aug,Unimodal (non-sinusoidal),0.722,0.848,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.02,Cephalosporins and other beta-lactams,0501021A0,Cefaclor,Secondary exploratory,1.269,1.212,1.355,Dec,Aug,Bimodal,0.621,0.949,Poisson,Poisson (LRT),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010AC,Ciprofloxacin,Secondary exploratory,1.268,1.214,1.325,Sep,May,Bimodal,0.781,0.962,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.07,Some other antibacterials,0501070U0,Vancomycin hydrochloride,Secondary exploratory,1.266,1.210,1.352,Sep,Jan,Unimodal (non-sinusoidal),0.763,0.806,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),Secondary exploratory,1.263,1.232,1.321,Jun,Oct,Bimodal,0.856,0.974,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010AC,Levocetirizine,Secondary exploratory,1.258,1.207,1.323,Jun,Jan,Unimodal (non-sinusoidal),0.649,0.501,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010I0,Cetirizine hydrochloride,Secondary exploratory,1.255,1.234,1.277,Jun,Jan,Unimodal (non-sinusoidal),0.858,0.640,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Musculoskeletal and Joint Diseases,10.01.04,Gout and cytotoxic induced hyperuicaemia,1001040G0,Colchicine,Secondary exploratory,1.253,1.219,1.287,Jul,Nov,Unimodal (non-sinusoidal),0.780,0.166,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.11.06,Oxidisers and dyes,1311060Q0,Potassium permanganate,Secondary exploratory,1.248,1.190,1.329,Aug,Jan,Unimodal,0.651,0.921,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Respiratory System,03.04.01,Antihistamines,0304010G0,Chlorphenamine maleate,Secondary exploratory,1.238,1.210,1.278,Jun,Oct,Bimodal,0.868,0.715,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.12,Quinolones,0501120X0,Levofloxacin,Secondary exploratory,1.233,1.193,1.284,Jan,Aug,Unimodal (non-sinusoidal),0.799,0.771,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.10.02,Antifungal preparations,1310020T0,Tioconazole,Secondary exploratory,1.232,1.179,1.296,Jul,Dec,Unimodal (non-sinusoidal),0.735,0.844,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.01,Penicillins,0501012G0,Flucloxacillin sodium,Secondary exploratory,1.232,1.189,1.283,Aug,Dec,Unimodal (non-sinusoidal),0.719,0.188,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.10.05,Preparations for minor cuts and abrasions,1310050H0,Hydrogen peroxide,Secondary exploratory,1.229,1.147,1.430,Nov,Jun,Unimodal (non-sinusoidal),0.541,0.677,Poisson,Poisson + Newey–West HAC (Wald),No,0.0112,Yes
Skin,13.10.02,Antifungal preparations,131002030,Terbinafine hydrochloride,Secondary exploratory,1.223,1.183,1.308,Jul,Jan,Unimodal (non-sinusoidal),0.602,0.852,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.05.01,Drugs for threadworms,0505010D0,Mebendazole,Secondary exploratory,1.223,1.157,1.306,Oct,Jun,Unimodal (non-sinusoidal),0.785,0.250,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.02.05,Other antifungals,0502050C0,Terbinafine hydrochloride,Secondary exploratory,1.211,1.174,1.253,Aug,Jan,Unimodal,0.858,0.869,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Central Nervous System,04.02.01,Antipsychotic drugs,0402010L0,Levomepromazine hydrochloride,Secondary exploratory,1.203,1.150,1.272,Jan,Aug,Unimodal (non-sinusoidal),0.733,0.717,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.02.01,Triazole antifungals,0502010C0,Itraconazole,Secondary exploratory,1.202,1.154,1.276,Jul,Feb,Unimodal,0.543,0.097,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Endocrine System,06.01.04,Treatment of hypoglycaemia,0601040H0,Glucagon,Secondary exploratory,1.196,1.161,1.245,Jul,Dec,Unimodal (non-sinusoidal),0.831,0.532,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.03,Nasal preparations for infection,1202030R0,Mupirocin,Secondary exploratory,1.194,1.147,1.291,Apr,Sep,Unimodal (non-sinusoidal),0.603,0.227,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.14.00,Topical circulatory preparations,1314000H0,Heparinoid,Secondary exploratory,1.178,1.143,1.220,Jul,Dec,Unimodal (non-sinusoidal),0.770,0.727,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.06.02,Oral preparations for acne,1306020J0,Isotretinoin,Secondary exploratory,1.178,1.111,1.265,Mar,Sep,Unimodal (non-sinusoidal),0.652,0.608,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Central Nervous System,04.05.01,Gastro-intestinal anti-obesity drugs,0405010P0,Orlistat,Secondary exploratory,1.163,1.128,1.210,Jul,Jan,Unimodal (non-sinusoidal),0.837,0.974,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.05.03,Drugs affecting the immune response,1305030B0,Pimecrolimus,Secondary exploratory,1.162,1.120,1.219,Apr,Sep,Unimodal (non-sinusoidal),0.729,0.979,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010B0,Acetic acid,Secondary exploratory,1.161,1.123,1.695,Jan,May,Unimodal (non-sinusoidal),0.502,0.609,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00121,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010U0,Mometasone furoate,Secondary exploratory,1.159,1.133,1.195,May,Sep,Unimodal (non-sinusoidal),0.749,0.805,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Central Nervous System,04.10.02,Nicotine dependence,0410020B0,Nicotine,Secondary exploratory,1.157,1.117,1.215,Mar,Nov,Unimodal (non-sinusoidal),0.769,0.944,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.05,Macrolides,0501050A0,Azithromycin,Secondary exploratory,1.154,1.120,1.197,Dec,Aug,Unimodal (non-sinusoidal),0.654,0.619,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.03.01,Antibacterials,1103010B0,Ciprofloxacin,Secondary exploratory,1.149,1.115,1.198,Feb,May,Bimodal,0.711,0.965,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,120101050,Dexamethasone,Secondary exploratory,1.148,1.110,1.205,Aug,May,Bimodal,0.597,0.858,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.02.01,Emollients,1302011L0,Light liquid paraffin,Secondary exploratory,1.148,1.124,1.178,Apr,Sep,Unimodal (non-sinusoidal),0.810,0.983,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Gastro-Intestinal System,01.07.04,Management of anal fissures,0107040A0,Glyceryl trinitrate,Secondary exploratory,1.148,1.122,1.179,Feb,Jul,Unimodal (non-sinusoidal),0.825,0.815,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010I0,Budesonide,Secondary exploratory,1.147,1.127,1.180,Jun,Dec,Unimodal (non-sinusoidal),0.737,0.916,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.07.00,Preparations for warts and calluses,1307000Q0,Silver nitrate,Secondary exploratory,1.146,1.102,1.223,Sep,Jan,Bimodal,0.616,0.787,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010M0,Fluticasone propionate (Nasal),Secondary exploratory,1.145,1.115,1.189,Jun,Oct,Unimodal (non-sinusoidal),0.764,0.770,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Nutrition and Blood,09.02.02,Parent prepn for fluid and electrolyte imb,0902021X0,Water for injection,Secondary exploratory,1.114,1.105,1.130,Jan,Aug,Bimodal,0.698,0.526,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020B0,Antazoline,Secondary exploratory,1.976,1.757,2.632,Jun,Dec,Unimodal (non-sinusoidal),0.495,0.701,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010AG,Phenazone/lidocaine,Secondary exploratory,1.969,1.799,2.231,Jan,Aug,Unimodal (non-sinusoidal),0.090,0.860,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010Q0,Hydrocortisone,Secondary exploratory,1.935,1.462,3.277,Dec,Apr,Unimodal (non-sinusoidal),0.319,0.818,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.10.04,Parasiticidal preparations,1310040M0,Malathion,Secondary exploratory,1.891,1.464,3.498,Mar,Jul,Unimodal (non-sinusoidal),0.203,0.495,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
"Ear, Nose and Oropharynx",12.03.01,Drugs for oral ulceration and inflammation,1203010M0,Hydrocortisone (Sodium succinate),Secondary exploratory,1.788,1.571,2.170,May,Dec,Unimodal (non-sinusoidal),0.381,0.959,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000AD,Hepatitis A/typhoid vaccine,Secondary exploratory,1.748,1.336,3.072,Sep,Mar,Unimodal,0.000,0.927,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0159,No
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010F0,Flumetasone pivalate,Secondary exploratory,1.744,1.371,2.454,Oct,Apr,Unimodal (non-sinusoidal),0.412,0.853,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00339,No
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000E0,Cholera,Secondary exploratory,1.708,1.320,2.738,Jun,Feb,Unimodal (non-sinusoidal),0.195,0.522,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00948,No
Infections,05.05.06,Filaricides,0505060I0,Ivermectin,Secondary exploratory,1.663,1.542,1.936,Jan,Aug,Unimodal (non-sinusoidal),0.357,0.977,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Eye,11.03.01,Antibacterials,1103010H0,Fusidic acid,Secondary exploratory,1.619,1.259,2.187,Feb,Oct,Unimodal (non-sinusoidal),0.479,0.724,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00934,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000U0,Prochlorperazine mesilate,Secondary exploratory,1.610,1.254,2.164,Aug,Jan,Unimodal (non-sinusoidal),0.251,0.973,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.06.03,Topical preparation for rosacea,1306030A0,Brimonidine tart (Rosacea),Secondary exploratory,1.519,1.427,1.827,Apr,Dec,Bimodal,0.472,0.661,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000AL,Shingles (H/Z),Secondary exploratory,1.496,1.257,1.925,Oct,Jun,Bimodal,0.176,0.617,Negbin,Negative binomial (LRT),Yes,0.04,No
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,1201010H0,Chloramphenicol,Secondary exploratory,1.458,1.226,2.194,Feb,Jun,Bimodal,0.065,0.112,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0145,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",1003020AA,Capsaicin,Secondary exploratory,1.439,1.261,1.910,Nov,Aug,Bimodal,0.031,0.962,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0303,No
Gastro-Intestinal System,01.02.00,Antispasmodics and other drugs altering gut motility,0102000Y0,Propantheline bromide,Secondary exploratory,1.436,1.145,1.973,Aug,Jan,Unimodal (non-sinusoidal),0.321,0.411,Poisson,Poisson + Newey–West HAC (Wald),No,0.034,No
"Ear, Nose and Oropharynx",12.01.01,Otitis externa,120101040,Dexamethasone sodium metasulphobenzoate,Secondary exploratory,1.421,1.215,2.001,Jan,May,Unimodal (non-sinusoidal),0.030,0.476,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0392,No
Endocrine System,06.01.02,Antidiabetic drugs,0601021X0,Tolbutamide,Secondary exploratory,1.417,1.189,2.313,Mar,Jul,Bimodal,0.103,0.931,Poisson,Poisson + Newey–West HAC (Wald),No,0.0484,No
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010Z0,Mometasone furoate/olopatadine hydrochloride,Secondary exploratory,1.406,1.293,1.645,May,Jan,Bimodal,0.210,0.956,Negbin,Negative binomial (LRT),Yes,<0.001,No
Gastro-Intestinal System,01.06.05,Bowel cleansing preparations,0106050B0,Bowel cleansing solutions,Secondary exploratory,1.344,1.198,1.598,Dec,Sep,Bimodal,0.000,0.677,Negbin,Negative binomial (LRT),No,0.015,No
Gastro-Intestinal System,01.06.06,Peripheral opioid-receptor antagonists,0106060C0,Naldemedine,Secondary exploratory,1.335,1.250,1.608,Jun,Jan,Unimodal (non-sinusoidal),0.209,0.968,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.03.00,Topical local anaesthetics and antipruritics,1303000D0,Calamine,Secondary exploratory,1.315,1.224,1.666,Apr,Oct,Unimodal (non-sinusoidal),0.188,0.120,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Eye,11.08.02,Ocular diagnostic & peri-operative prepn & photodynamic tt,1108020A0,Diclofenac sodium,Secondary exploratory,1.312,1.163,1.847,May,Oct,Unimodal,0.020,0.867,Poisson,Poisson + Newey–West HAC (Wald),No,0.0349,No
