bnf_class_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
050101,1.57177982657312,1.39902616105247,1.76750973478682,Dec,Aug,0.19467890431857,0.0694946628243479,1,0.833278102795167,0.767197182955738,0.56487858084988,589273.825999174,440780.923508433,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Penicillins,6.15032290158321e-22,poisson,HAC-Wald,11365.4898237414,0.0123650280641127,0.0125281989200171,1.50557262808203,FALSE,,0.0937264175027723,0.170631868209824,-0.0155994409123932,0.0677212345154056,TRUE,,5.41228415339323e-21,TRUE,primary_inferential,all_eligible_classes
030901,1.54714449011458,1.45297071441903,1.68254641529096,Dec,Aug,0.201320540880732,0.0540035158207059,1,0.746668641307722,0.813855826297645,0.896123636115213,4612.67371572274,4042.32077385265,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Cough suppressants,1.06971604340851e-50,poisson,HAC-Wald,87.793049299902,1.45332780297925e-06,3.33066907387547e-16,1.81955200040939,FALSE,,0.0734119662590107,0.187458377754893,-0.017101892214152,0.0512240666454037,TRUE,,1.81028868884518e-49,TRUE,primary_inferential,all_eligible_classes
031000,1.53395778010637,1.41678179452323,1.69011078489754,Dec,Jul,0.203995898403663,0.0375453142216057,1,0.677481006373405,0.714485022852893,0.877148532028957,618.328305708701,619.026631254053,unimodal (1 harmonic preferred),Systemic nasal decongestants,1.63992539429162e-11,negbin,NB-LRT,17.5935602676054,0.00658743793342545,0.0513626873949191,,,113.406900225612,0.0709067320052016,0.191276140492901,-0.0245669184924717,0.0283922020242065,TRUE,,7.51632472383658e-11,TRUE,primary_inferential,all_eligible_classes
131004,1.45179979072057,1.37496096974111,1.55687938827343,Nov,Jul,0.178288701972998,0.0565546016601446,1,0.829338863274437,0.844471747827488,0.968479510770791,7104.28575387077,5589.4863928172,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Parasiticidal preparations,5.56282410145192e-33,poisson,HAC-Wald,124.729204432514,2.68871583401411e-07,0.0266351308704863,2.71661694273689,FALSE,,0.0385225805705732,0.174077201371691,-0.0411613009215361,-0.0387836341178129,TRUE,,6.7990072351079e-32,TRUE,primary_inferential,all_eligible_classes
050105,1.41515966072867,1.25786607381749,1.62015676987653,Dec,Aug,0.149498826704081,0.0543377458913156,1,0.739566865611029,0.725470369551647,0.534580662054307,117076.038143837,98211.1022481019,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Macrolides,1.08659850271631e-17,poisson,HAC-Wald,2571.99639151352,0.0284100305164292,0.000406026748873467,1.50416023931523,FALSE,,0.0808433029049013,0.125754759597096,-0.00969999632853951,0.0534649483285592,TRUE,,6.83004773135963e-17,TRUE,primary_inferential,all_eligible_classes
120301,1.41122203342119,1.29540031968565,1.54478481346453,Dec,Aug,0.144322923818549,0.0548310878857866,1,0.812339217902046,0.774843936830557,0.0941044950166002,16564.6275215814,13125.5458800937,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Drugs for oral ulceration and inflammation,2.6405311263484e-23,poisson,HAC-Wald,312.067314232027,1.36953898339461e-06,0.00664739944344672,1.1492601957667,FALSE,,0.0786193313183072,0.121029364546778,-0.0299931371986794,0.0459005437845789,TRUE,,2.42048686581937e-22,TRUE,primary_inferential,all_eligible_classes
120203,1.39988705263741,1.33505494311528,1.50670853750135,May,Sep,0.164037402572897,0.0516960891246173,1,0.81372576490642,0.853382063327045,0.466865517341894,12053.4649063476,9436.07204706344,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Nasal preparations for infection,1.1832311656626e-35,poisson,HAC-Wald,221.708687211194,1.10569410887099e-05,0.00489374400497733,1.67696012301742,FALSE,,0.158087867722409,-0.043777797133302,0.0149019501293163,0.0495016920228364,TRUE,,1.53124033203395e-34,TRUE,primary_inferential,all_eligible_classes
131200,1.39150000603553,1.34715308481762,1.45518402678802,Jul,Dec,0.162925273540168,0.0241440848879856,1,0.85081976227239,0.860682748583545,0.0133864855707366,1249.72440321031,1202.01691283193,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Antiperspirants,7.96603339575815e-82,poisson,HAC-Wald,17.7116375971623,0.000150178736314821,0.0144328022235589,3.23520359517623,FALSE,,-0.0766470264647348,-0.143770226723939,0.0185051381896996,-0.015507955882655,TRUE,,2.92087891177799e-80,TRUE,primary_inferential,all_eligible_classes
130700,1.36776395522095,1.30922924412571,1.47813998189874,Aug,Jan,0.146047960240339,0.0371464272506828,1,0.816649446257441,0.845159308057764,0.666681242590808,3264.96351024987,2951.35413241392,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Preparations for warts and calluses,7.80487251085793e-33,poisson,HAC-Wald,59.9425742577849,9.64196952064922e-09,0.000358727020950189,4.07382291573452,FALSE,,-0.0799560276551729,-0.12221718509264,0.00325532317261208,-0.0370035123810176,TRUE,,8.58535976194372e-32,TRUE,primary_inferential,all_eligible_classes
030402,1.3245459988564,1.25869432562495,1.40154727442966,May,Nov,0.140565059654125,0.019066309616435,1,0.65932551184598,0.66352455844709,0.962883310817412,413.798789718164,415.691163230758,unimodal (1 harmonic preferred),Allergen immunotherapy,1.11145156579513e-24,poisson,Poisson-LRT,1.23212619340224,0.448243597909744,0.397482556352044,,,,0.0727898983266984,-0.12025043325143,-0.017229545475884,0.00816498163403979,TRUE,,1.06312758467361e-23,TRUE,primary_inferential,all_eligible_classes
