bnf_class_code,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,hac_capped,class_q_bh,class_significant,meaningful
110303,Antivirals,primary_inferential,all_eligible_classes,1.066,1.046,1.095,Jan,Oct,"bimodal (2 harmonics, 2 peaks)",2,0.261,0.242,0.842,poisson,HAC-Wald,FALSE,1.44223095977901e-09,TRUE,FALSE
050111,"Metronidazole, tinidazole and ornidazole",primary_inferential,all_eligible_classes,1.065,1.038,1.105,Sep,Jun,"bimodal (2 harmonics, 2 peaks)",2,0.49,0.629,0.615,poisson,HAC-Wald,FALSE,0.00172848088230961,TRUE,FALSE
050201,Triazole antifungals,primary_inferential,all_eligible_classes,1.063,1.039,1.112,Aug,Jan,unimodal (1 harmonic preferred),1,0.31,0.295,0.558,negbin,NB-LRT,,0.045794299931884,TRUE,FALSE
050108,Sulfonamides and trimethoprim,primary_inferential,all_eligible_classes,1.062,1.045,1.098,Nov,Jun,unimodal (1 harmonic preferred),1,0.442,0.575,0.343,negbin,NB-LRT,,0.000378108884704967,TRUE,FALSE
010702,Compound haemorrhoidal preparations with corticosteroid,primary_inferential,all_eligible_classes,1.061,1.049,1.076,Mar,Jul,"bimodal (2 harmonics, 2 peaks)",2,0.396,0.433,0,poisson,HAC-Wald,TRUE,3.54049245952409e-17,TRUE,FALSE
130201,Emollients,primary_inferential,all_eligible_classes,1.061,1.048,1.079,Apr,Oct,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.371,0.429,0.316,poisson,HAC-Wald,FALSE,4.56697434699239e-18,TRUE,FALSE
030200,Corticosteroids (respiratory),primary_inferential,all_eligible_classes,1.061,1.048,1.073,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",2,0.309,0.469,0.527,poisson,HAC-Wald,FALSE,5.7573277320653e-30,TRUE,FALSE
131001,Antibacterial preparations,primary_inferential,all_eligible_classes,1.059,1.037,1.105,Apr,Dec,"bimodal (2 harmonics, 2 peaks)",2,0.343,0.294,0.354,poisson,HAC-Wald,FALSE,0.0117193096799549,TRUE,FALSE
010102,Compound alginates and proprietary indigestion preparations,primary_inferential,all_eligible_classes,1.058,1.044,1.08,Dec,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.21,0.171,0.112,poisson,HAC-Wald,FALSE,9.844932030669e-10,TRUE,FALSE
010701,Soothing haemorrhoidal preparations,primary_inferential,all_eligible_classes,1.057,1.044,1.071,Feb,Jun,"bimodal (2 harmonics, 2 peaks)",2,0.392,0.521,0.384,poisson,HAC-Wald,TRUE,3.88567411103636e-20,TRUE,FALSE
050107,Some other antibacterials,primary_inferential,all_eligible_classes,1.056,1.037,1.085,Sep,Apr,unimodal (1 harmonic preferred),1,0.259,0.161,0.94,negbin,NB-LRT,,0.00188469676334775,TRUE,FALSE
131103,Cationic surfactants and soaps,primary_inferential,all_eligible_classes,1.054,1.033,1.091,Apr,Jan,"bimodal (2 harmonics, 2 peaks)",2,0.419,0.507,0.787,poisson,HAC-Wald,FALSE,0.00112297682680614,TRUE,FALSE
130601,Topical preparations for acne,primary_inferential,all_eligible_classes,1.052,1.032,1.104,Mar,Jun,"bimodal (2 harmonics, 2 peaks)",2,0.523,0.694,0.467,poisson,HAC-Wald,FALSE,0.0462428934317855,TRUE,FALSE
100302,"Rubefacients, topical NSAIDs, capsaicin and poultices",primary_inferential,all_eligible_classes,1.047,1.043,1.059,Sep,Jan,"bimodal (2 harmonics, 2 peaks)",2,0.242,0.43,0.366,poisson,HAC-Wald,TRUE,1.55919199584476e-59,TRUE,FALSE
040400,CNS stimulants and drugs used for ADHD,primary_inferential,all_eligible_classes,1.046,1.026,1.08,Apr,Aug,"bimodal (2 harmonics, 2 peaks)",2,0.508,0.619,0.986,poisson,HAC-Wald,FALSE,0.0251947058398018,TRUE,FALSE
021100,Antifibrinolytic drugs and haemostatics,primary_inferential,all_eligible_classes,1.046,1.034,1.061,Aug,Dec,"bimodal (2 harmonics, 2 peaks)",2,0.566,0.483,0.812,poisson,HAC-Wald,TRUE,1.08614266312091e-11,TRUE,FALSE
070301,Combined hormonal contraceptives and systems,primary_inferential,all_eligible_classes,1.042,1.029,1.062,Jul,Nov,"bimodal (2 harmonics, 2 peaks)",2,0.43,0.484,0.969,poisson,HAC-Wald,FALSE,9.91433051466992e-09,TRUE,FALSE
130101,Management of skin conditions,primary_inferential,all_eligible_classes,1.036,1.026,1.06,May,Oct,unimodal (1 harmonic preferred),1,0.23,0.263,0.95,poisson,HAC-Wald,FALSE,0.000391660057006864,TRUE,FALSE
020202,Loop diuretics,primary_inferential,all_eligible_classes,1.034,1.026,1.05,Jul,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.014,0,0,poisson,HAC-Wald,FALSE,1.23408769764989e-38,TRUE,FALSE
040101,Hypnotics,primary_inferential,all_eligible_classes,1.034,1.027,1.051,Feb,Jun,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.068,0.311,0.298,poisson,HAC-Wald,FALSE,8.49270687446684e-13,TRUE,FALSE
020702,Vasoconstrictor sympathomimetics,primary_inferential,all_eligible_classes,1.032,1.019,1.053,Nov,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.1,0.16,0.988,poisson,HAC-Wald,FALSE,2.31390842922359e-05,TRUE,FALSE
130900,Shampoo and other preparations for scalp and hair conditions,primary_inferential,all_eligible_classes,1.027,1.016,1.048,Sep,Jan,"bimodal (2 harmonics, 2 peaks)",2,0.235,0.359,0.312,poisson,HAC-Wald,TRUE,0.00494846301137637,TRUE,FALSE
090502,Phosphorus,primary_inferential,all_eligible_classes,1.027,1.017,1.051,Sep,Mar,unimodal (1 harmonic preferred),1,0.066,0.319,0.784,poisson,HAC-Wald,FALSE,0.016540956368645,TRUE,FALSE
070302,Progestogen-only contraceptives,primary_inferential,all_eligible_classes,1.026,1.015,1.045,Feb,Oct,"bimodal (2 harmonics, 2 peaks)",2,0.421,0.382,0.856,poisson,HAC-Wald,TRUE,0.000388275226870467,TRUE,FALSE
020204,Potassium sparing diuretics and compounds,primary_inferential,all_eligible_classes,1.026,1.014,1.044,Oct,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.113,0.165,0.982,poisson,HAC-Wald,FALSE,0.0115413382112734,TRUE,FALSE
030302,Leukotriene receptor antagonists,primary_inferential,all_eligible_classes,1.025,1.02,1.035,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",2,0.008,0,0.775,poisson,HAC-Wald,FALSE,2.73709047581924e-10,TRUE,FALSE
050401,Antimalarials,primary_inferential,all_eligible_classes,1.025,1.019,1.043,Sep,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.083,0.172,0.904,poisson,HAC-Wald,TRUE,8.77920094479552e-14,TRUE,FALSE
030700,Mucolytics,primary_inferential,all_eligible_classes,1.025,1.02,1.035,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",2,-0.152,0,0.928,poisson,HAC-Wald,FALSE,3.00197132384098e-16,TRUE,FALSE
100101,Non-steroidal anti-inflammatory drugs,primary_inferential,all_eligible_classes,1.025,1.021,1.043,Apr,Dec,"bimodal (2 harmonics, 2 peaks)",2,0.107,0.074,0.131,poisson,HAC-Wald,FALSE,5.27206392050756e-10,TRUE,FALSE
090101,Iron-deficiency anaemias,primary_inferential,all_eligible_classes,1.024,1.019,1.042,Jul,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.07,0,0.701,poisson,HAC-Wald,TRUE,4.30049447409871e-15,TRUE,FALSE
010402,Antimotility drugs,primary_inferential,all_eligible_classes,1.024,1.016,1.041,Jul,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.094,0.171,0.06,poisson,HAC-Wald,FALSE,2.18265840235112e-06,TRUE,FALSE
010301,H2-receptor antagonists,primary_inferential,all_eligible_classes,1.023,1.016,1.037,Nov,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.082,0,0.994,poisson,HAC-Wald,FALSE,5.45997117848395e-06,TRUE,FALSE
090604,Vitamin D,primary_inferential,all_eligible_classes,1.023,1.018,1.039,Apr,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.081,0,0.552,poisson,HAC-Wald,TRUE,7.68734419904648e-19,TRUE,FALSE
041100,Dementia,primary_inferential,all_eligible_classes,1.023,1.014,1.041,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",2,-0.114,0,0.814,poisson,HAC-Wald,TRUE,3.28476791770192e-10,TRUE,FALSE
