bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
0408010Z0,Phenytoin,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.027,1.015,1.051,Dec,Aug,unimodal (1 harmonic preferred),-0.22,0.019,0.808,poisson,HAC-Wald,0.0109528815458843,TRUE,TRUE,0.0462428934317855,0.00821849948557233,TRUE,FALSE
0901011P0,Ferrous sulfate,Iron-deficiency anaemias,secondary_exploratory,all_eligible_drugs,1.027,1.021,1.043,Jul,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.081,0.225,0.896,poisson,HAC-Wald,3.12978939466313e-13,TRUE,TRUE,4.30049447409871e-15,2.1579705407306e-13,TRUE,FALSE
0406000P0,Metoclopramide hydrochloride,Drugs used in nausea and vertigo,secondary_exploratory,all_eligible_drugs,1.027,1.02,1.041,Nov,May,unimodal (1 harmonic preferred),-0.033,0,0.827,poisson,HAC-Wald,7.72599501221913e-09,TRUE,TRUE,4.48078666131178e-09,5.46406917525495e-09,TRUE,FALSE
0702010F0,Estriol,Preparations for vaginal and vulval changes,secondary_exploratory,all_eligible_drugs,1.027,1.021,1.058,Oct,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.026,0,0.966,poisson,HAC-Wald,0.00259636613873336,TRUE,FALSE,0.380896625937797,,FALSE,FALSE
0304010Y0,Alimemazine tartrate,Antihistamines,secondary_exploratory,all_eligible_drugs,1.026,1.018,1.043,Dec,Sep,unimodal (1 harmonic preferred),0.162,0.37,0.838,poisson,HAC-Wald,0.00283455135720356,TRUE,TRUE,1.95040709693529e-226,0.00208751239273535,TRUE,FALSE
0411000G0,Memantine hydrochloride,Dementia,secondary_exploratory,all_eligible_drugs,1.026,1.015,1.049,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.118,0,0.938,poisson,HAC-Wald,2.4665349003518e-05,TRUE,TRUE,3.28476791770192e-10,1.77540709417006e-05,TRUE,FALSE
0601023AU,Ins degludec/liraglutide,Antidiabetic drugs,secondary_exploratory,all_eligible_drugs,1.026,1.018,1.049,May,Sep,unimodal (1 harmonic preferred),0.058,0.31,0.983,poisson,HAC-Wald,0.00899572923950646,TRUE,FALSE,0.870182495394554,,FALSE,FALSE
0403030Z0,Citalopram hydrochloride,Selective serotonin re-uptake inhibitors,secondary_exploratory,all_eligible_drugs,1.026,1.017,1.045,Nov,Apr,unimodal (1 harmonic preferred),-0.127,0.12,0.658,poisson,HAC-Wald,0.000166117342330208,TRUE,TRUE,0.000373686698569591,0.000120024609091213,TRUE,FALSE
0303020G0,Montelukast,Leukotriene receptor antagonists,secondary_exploratory,all_eligible_drugs,1.025,1.02,1.035,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",0.008,0,0.775,poisson,HAC-Wald,5.07165482060518e-10,TRUE,TRUE,2.73709047581924e-10,3.51333843931144e-10,TRUE,FALSE
0208020V0,Warfarin sodium,Oral anticoagulants,secondary_exploratory,all_eligible_drugs,1.025,1.016,1.041,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.041,0.143,0.978,poisson,HAC-Wald,1.09294090257334e-05,TRUE,TRUE,0.00531800462558879,7.84212662617795e-06,TRUE,FALSE
