bnf_class_code,bnf_drug_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
120101,1201010Q0,Hydrocortisone,3.5929377583494e-05,poisson,HAC-Wald,70.7632357816507,1.88102016726287e-08,0,0.65590742423663,FALSE,,-0.1268548601399,0.227937824517218,0.0625307164324131,0.102835733531811,TRUE,,0.000174105541125986,TRUE,secondary_exploratory,all_eligible_drugs,Otitis externa,4.03048405132221e-10,TRUE,TRUE,0.000125752821542229,TRUE
130602,1306020J0,Isotretinoin,3.81170779031118e-05,poisson,HAC-Wald,11.1557941098137,5.63126085047134e-06,0.000114006163976943,5.9495841657384,FALSE,,0.0817955223294735,-0.00358160367418184,-0.00270672686318569,-0.0125039507230605,TRUE,,0.000183792246918965,TRUE,secondary_exploratory,all_eligible_drugs,Oral preparations for acne,0.000920222435304135,TRUE,TRUE,0.000132703900847871,TRUE
130201,1302010U0,Urea,4.2972214302922e-05,negbin,NB-LRT,46.0352011581084,6.45775996638523e-06,0.145556591708333,,,1005.1736004313,0.0120855010256883,-0.0361343581479112,0.00395227217496348,-0.00238934625768786,TRUE,,0.000206181954340128,TRUE,secondary_exploratory,all_eligible_drugs,Emollients,4.56697434699239e-18,TRUE,TRUE,0.000148819563217488,TRUE
070402,0704020AB,Solifenacin,4.3969078778945e-05,poisson,HAC-Wald,165.186330568821,2.51305347389863e-09,2.81536891552081e-05,12,TRUE,,0.000841894846242792,0.00260738614517691,-0.00315270159032883,0.00371093837298899,TRUE,,0.000209930797699473,TRUE,secondary_exploratory,all_eligible_drugs,Drugs for urinary frequency enuresis and incontinence,0.102138015457376,FALSE,FALSE,,FALSE
050112,0501120P0,Ofloxacin,5.30996477537977e-05,negbin,NB-LRT,12.9023827471409,3.14324688546029e-05,0.0678105219979821,,,379.497037349657,0.0266522318844265,0.0515153709622627,-0.00430673104230965,-0.0240641972253773,TRUE,,0.000252288082498531,TRUE,secondary_exploratory,all_eligible_drugs,Quinolones,4.12469936146296e-10,TRUE,TRUE,0.000182929676554968,TRUE
020505,0205051F0,Captopril,5.7432311176384e-05,poisson,HAC-Wald,3.19586971358389,3.74090741123116e-05,0.028506825481147,2.27169962842456,FALSE,,-0.000414649392201951,0.00674181671199291,-0.00715076403656456,0.00293800063865707,TRUE,,0.00027154888876601,TRUE,secondary_exploratory,all_eligible_drugs,Renin-angiotensin system drugs,0.0166702504942612,TRUE,TRUE,0.000196825316427399,TRUE
050108,0501080W0,Trimethoprim,8.66203854209759e-05,negbin,NB-LRT,138.827929425808,4.36893315151784e-12,0.0782225984168888,,,1117.4346920529,-0.00828153263085368,0.0314247052614476,0.00329986294270225,-0.0103796391742673,TRUE,,0.000407576113043626,TRUE,secondary_exploratory,all_eligible_drugs,Sulfonamides and trimethoprim,0.000378108884704967,TRUE,TRUE,0.000295317168948198,TRUE
130400,1304000V0,Hydrocortisone,8.84950526437401e-05,negbin,NB-LRT,822.114409237967,4.67039276122325e-09,0.231309286874977,,,444.168348969845,0.0554293539051978,-0.0112011980523255,0.00263895883701658,0.000631357981853887,TRUE,,0.000414395102283668,TRUE,secondary_exploratory,all_eligible_drugs,Topical corticosteroids,0.000772676262857242,TRUE,TRUE,0.000300153322884438,TRUE
020400,0204000AB,Nebivolol,0.000114974465265783,poisson,HAC-Wald,35.780321804642,9.80945107502174e-08,0.000121877608582843,10.1504320340637,FALSE,,0.00161403169652158,0.00367707828854456,-0.00226761820204196,0.00120265518167096,TRUE,,0.000535814015162068,TRUE,secondary_exploratory,all_eligible_drugs,Beta-adrenoceptor blocking drugs,0.0081054061707156,TRUE,TRUE,0.000387965118691717,TRUE
021200,0212000P0,Fenofibrate,0.000116435099846103,poisson,HAC-Wald,30.6633238553963,3.23278936117295e-07,0.000701887468781526,3.34185699934276,FALSE,,-0.000838857013523163,0.00606052238578813,-0.00228898784529635,0.00373911744631761,TRUE,,0.000540037082143353,TRUE,secondary_exploratory,all_eligible_drugs,Lipid-regulating drugs,0.0304008061863522,TRUE,TRUE,0.00039088926376906,TRUE
